,商品名,商品価格
10,【送料無料】愛媛 みかん サイズ混合 約13kg 産地直送 訳ありご家庭用 ミカン 温州 蜜柑 箱 果物 フルーツ みかん13,2580
11,"＼延長宣言⇒378円OFF／2種のBIGクーポン付　デコ媛⇒クーポンで送料無料　1,218円★総合ランキング第1位！【1箱より送料無料】★6年連続⇒年間ランキング当店受賞・デコ媛　2箱以上ご注文で増量サービス・訳ありデコポン みかん",1326
12,みかん　訳あり　約10kg（箱込10kg　9kg+保証分500g）熊本産 ご家庭用　フルーツ　果物【送料無料】（一部の地域を除く),2380
13,[超わけあり]有田みかん10kg　　　　　 【訳あり】【ロットM】,2380
14,【ふるさと納税】下津蔵出しみかん6.5kg・ちょっと訳ありご家庭用　まごころ産直みかんより農園直送！※2021年1月中旬頃〜2月下旬頃に順次発送予定,5000
15,【数量＆期間限定値下げ】【訳あり】 大玉 みかん 10kg 送料無料 訳あり 【くす玉くん】 訳アリ ミカン 農家直送 蜜柑 10キロ 送料無料 和歌山県 有田市 みかん 和歌山みかん 有田みかん 大粒 大玉 蜜柑 おいしい 果物 フルーツ 自宅用 箱 買い 家庭用 大きめ 大きい,2560
16,【送料無料】【訳あり】愛媛西宇和産みかん 訳あり5キロ「訳ありみかん5」2年連続グルメ大賞受賞みかん！蜜柑/ミカン/愛媛みかん/グルメ/お取り寄せ/,2800
17,☆只今出荷中☆ 訳あり和歌山みかん 10kg 3S〜3Lサイズ【送料無料】わけあり・サイズふぞろい・キズ・その他【みかん/訳あり/わけあり】,2678
18,有田みかん5kg（和歌山みかん）有田みかん豊作会【味暦ブランド】[送料無料]サイズ不選別　ありたみかん・ありだみかん・ミカン／御歳暮 お歳暮 贈答 ギフトに(温州みかん),3280
19,みかん 5kg（箱込約5kg）和歌山県産　訳あり・ご家庭用　送料無料（東北・北海道・沖縄県除く）【同梱不可・配達日指定不可】,2180
20,【糖度11度以上 酸度1.0以下】【送料無料】愛媛西宇和産みかん ファミリー用10キロ「ファミリーみかん10」日の丸みかん、川上みかん、真穴みかんと同一産地/光センサー選別合格品/愛媛みかん/グルメ/お取り寄せ/見た目綺麗/ギフト,6600
21,【1月下旬〜発送予定】フルーツ 詰め合わせ かんきつ類　訳あり 5kg みかん以外 はっさく いよかん ポンカン 和歌山 自宅用 福袋 お楽しみ 箱 柑橘類,2580
22,香川産 小粒みかん 5kg箱【農家直送♪】,2700
23,10kg送料無料2.580円⇒でありえない最安値に挑戦！デコポン・しらぬい選果ばね・未選果⇒ガキデコ（特殊条件付）訳あり家庭用・愛媛産,2580
24,みかん 訳あり 有田みかん 10kg 和歌山県産 送料無料(北海道、沖縄県、東北地方除く) ミカン みかん 蜜柑 ご自宅用 温州みかん 家庭用 果物 柑橘 産地直送 食品 健康 健康維持 冬 ビタミン 風邪 予防 ジューシ— 採れたて 年越し 年末 帰省 こたつ,2650
25,【ふるさと納税】＜11月〜発送＞ご家庭用完熟有田みかん8kg＋240g（傷み補償分）【たっぷり訳ありみかん】【わけあり】※北海道、沖縄配送不可※こちらの返礼品は、2021年より寄附金額・内容量を見直し新たにご提供させていただいております,8000
26,【送料無料】【訳あり】愛媛西宇和産みかん 訳あり10キロ「訳ありみかん10」2年連続グルメ大賞受賞みかん！蜜柑/ミカン/愛媛みかん/グルメ/お取り寄せ/,4250
27,【ふるさと納税】田村みかん／特選ギフト品10kg【Mサイズ】赤秀／紀州和歌山有田郡湯浅町田村地区産／最高級プレミアムブランドの田村ミカン／紀伊国屋文左衛門本舗(お届け日指定不可)※2021年11月下旬〜2022年1月中旬頃に順次発送予定,30000
28,みかん 送料無料 10kg箱込（内容量9kg+補償分500g） 訳あり 規格外 温州は大玉傾向 熊本県産 ミカン 蜜柑 ご自宅用 ポイント消化,2499
29,【あす楽対応商品】みかん 10kg 送料無料 訳あり 和歌山ブランド 有田みかん 本場 和歌山みかん ご当地 お取り寄せ 御歳暮 贈答 ギフト,4390
