,name,apeal,copy,employment_status,incoms
117,日本eリモデル株式会社,勤続1年以上の平均月収59万3000円【大阪府緊急雇用対策に賛同】,景気に左右されず好調！【企画営業】就職祝金15万円★転勤なし★,正社員,300万円～700万円
118,株式会社アサンテ,＜東証一部上場＞創業50年・国内売上NO.1の安定基盤で将来性抜群,ハウスメンテナンスの【営業】★手取月50万以上も可能★未経験OK,正社員,450万円～550万円
119,株式会社NEXTSTORIES,★WEB面接可★月給27万以上※大阪府緊急雇用対策に賛同,【PR営業】★未経験でも月収60万円以上可！★準備金5万円あり！,正社員,500万円～800万円
120,株式会社SORI,◆前職給与考慮でお迎え◆年収1000万円も目指せる◆賞与年3回,【総合職(施工管理／重機オペ／ドライバー)】年齢不問◎広島勤務,正社員,400万円～1000万円
121,UTエイム株式会社,【超スピード選考】最短当日面談＆当日採用(規定有)！,【サポートスタッフ(データ管理・部品手配等)】★完全週休2日制,正社員,300万円～500万円
122,株式会社T-TOP,TVCM放映！コロナ禍でも安定ニーズ【大阪府緊急雇用対策に賛同】,平均月収40万円！【営業】※完全週休2日制／月給23万5000円～,契約社員,
123,株式会社ワールドコーポレーション,大阪府緊急雇用対策に賛同,同期入社多数！【資材管理】★研修充実！※全国募集※未経験歓迎,正社員,350万円～500万円
124,トランスコスモス株式会社,【東証一部上場】◎WEB面接可◎年休121日◎福利厚生充実,成長中の拠点で新たなキャリアをスタート！【運営管理】未経験OK,正社員,330万円～550万円
125,東建コーポレーション株式会社,これから先の将来を考えて、当社に入社しませんか？,未経験歓迎！月給26.3万円～【営業職】※全国募集/30歳まで,正社員,400万円～800万円
126,株式会社ネクジット,月収50万円も可/賞与1回240万円実績も/大阪府緊急雇用対策に賛同,"※月給35万円保証※【施工管理】年収1,000万円も目指せる！",正社員,450万円～700万円
127,UTエイム株式会社,大阪府緊急雇用対策に賛同【東証一部上場グループ】★安定基盤,シンプルワーク中心【軽作業スタッフ(梱包・検品等)】未経験OK！,正社員,300万円～500万円
128,株式会社ワールドコーポレーション,安定基盤・難しい仕事はありません！,夜勤ナシ！【点検・保守】転職回数不問※全国募集※未経験歓迎,正社員,350万円～500万円
129,株式会社ワールドコーポレーション,大阪府緊急雇用対策に賛同,【管理業務スタッフ】※北海道・東北・九州限定※未経験採用,正社員,350万円～500万円
130,GMOTECH株式会社,【東証マザーズ上場】★面接から入社まで全てオンラインで実施,【広告営業】実績が評価されるフィールドで「今より上の自分」に,正社員,300万円～1000万円
131,株式会社アール・エム,【大阪府緊急雇用対策に賛同】入社4～5年目の平均年収1154万円,2020年度の最高月収《331万円》驚くほど高収入な【提案営業】,正社員,400万円～700万円
132,東建コーポレーション株式会社,土地活用でおなじみの東建です。完全週休2日制で年間休日123日！,年齢・転職回数不問！【営業】※全国募集/未経験歓迎/年齢不問,正社員,400万円～800万円
133,UTエイム株式会社,大阪府緊急雇用対策に賛同【東証一部上場グループ】,工場内でモクモク働く【機械操作スタッフ】★月収30万円以上可能,正社員,300万円～500万円
134,株式会社TCG,【働く時間は12～18時の6時間】名古屋グランパス公式スポンサー,【営業】平均年収834万円/月収30万円+歩合/土日休み選択可,正社員,400万円～1500万円
135,HITOWAライフパートナー株式会社,全国募集★不況でも売上昨対超え！自宅開業OK★転勤なし！,面談確約【店舗経営】研修制度◎稼ぎ◎自由さ◎学歴・年齢不問！,FCオーナー,
136,パーソルテンプスタッフ株式会社,土日休み★残業少なめ★研修充実★転勤ナシ★,【事務スタッフ】大手有名企業で社員をめざせる★月27万円も可能,紹介予定派遣,250万円～400万円
137,株式会社ネオ・コーポレーション,創業以来、21年連続増収増益／2020年の『営業平均年収1472万円』,【電子ブレーカーの提案営業】※営業の約65％が年収1000万円超,正社員,500万円～1500万円
138,悠悠ホーム株式会社,◎完全週休2日制◎充実の手当は10種類◎社員寮・社宅完備,未経験OK！家づくりをお客様と楽しむ【住宅アドバイザー】,正社員,350万円～1000万円
139,株式会社昇建,#大阪府緊急雇用対策に賛同#マイナビ転職で入社した社員が活躍中,1次請け案件多数!チームで関わる【建築施工管理】※前職給与考慮,正社員,500万円～650万円
140,株式会社いーふらん,高級宝飾時計商「おたからや」を全国に900店舗展開,初掲載！平均年収927万円【ブランド品の買取接客】,正社員,500万円～2000万円
141,株式会社建築資料研究社,資格系スクール「日建学院」を運営【大阪府緊急雇用対策に賛同】,★全国募集★【ライセンスアドバイザー】＊中途社員平均年齢28歳,正社員,350万円～550万円
142,株式会社センス,【業界2年連続No.1】◆95％が未経験スタート◆働き方改革推進中,【営業系総合職】★年収1000万円オーバー多数★社員定着率96％,正社員,350万円～600万円
143,株式会社UFジャパン,★面接1回のスピード選考＆WEB面接も可能です★,【ITエンジニア(開発/インフラ等)】現在リモートワークが7割超,正社員,260万円～840万円
144,株式会社リグラス,【設立4年で売上50億達成の成長企業】営業職の平均年収1000万円,年収1500万以上を目指せる！【幹部候補】募集,正社員,500万円～1000万円
145,グローリー株式会社,★スタートアップメンバー募集★土日祝休み★残業ほとんどなし,今話題のアプリ「menu」の【営業】未経験OK★在宅勤務＆直行直帰,正社員,350万円～800万円
146,城建設株式会社,★20代で月収50万円の社員も！未経験からしっかり稼げる！,年齢・経験不問！未経験でも月給30万円スタート【作業スタッフ】,正社員,360万円～600万円
147,株式会社杉並モータース,★平均月収45万円★有休取得率ほぼ100％★Web面接OK,【ロードサービス】＼当社に入社して年収200万円UPの社員も！／,正社員,400万円～600万円
148,株式会社ビータオート,【大阪府緊急雇用対策に賛同】★年収800万円も可能★残業少なめ,100％反響の【提案営業】※年間休日120日＆月給26万円～,正社員,310万円～600万円
149,株式会社シェア,【大阪府緊急雇用対策に賛同】昇給年4回／有給取得者率97％,最高月間インセン105万！高収入が叶う【WEB提案営業】★土日祝休,正社員,350万円～750万円
150,株式会社ファーストステージ,【昨年、東証TOKYOPROMarketに上場】年間休日休暇は最大129日,年収1000万円超を目指せる！【投資用不動産の営業】未経験歓迎,正社員,350万円～1000万円
151,KUROFUNE＆PARTNERS株式会社,★オープニングスタッフ募集★1年目全員が年収500万円以上の実績,#未経験歓迎#月給30万円スタート#車通勤OK#転勤なし【営業】,正社員,500万円～700万円
152,株式会社ミュゼプラチナム,★週休3日もOK★コスメ社割／全身美容脱毛0円★WEB面接1回,【受付カウンセラー】未経験歓迎★29歳までの方限定★賞与年4回,正社員,350万円～450万円
153,株式会社松富士食品,お客さま・従業員の声をもとに進化し続ける松富士食品,【店舗運営総合職】※店舗⇒本部職へのキャリアチェンジも可能！,正社員,344万円～445万円
154,株式会社山王,【ガリレオコーポレーショングループ】★福岡・山口も同時募集中,＼2021年2月鹿児島営業所オープン！／【営業スタッフ】,正社員,500万円～2000万円
155,株式会社グランデ,東証マザーズ上場「ランディックス」グループ,【不動産仕入れ営業】週休2日＆夏冬各9連休！営業デビュー大歓迎,正社員,300万円～1000万円
156,株式会社ビッグモーター,全国募集／転勤なし／面接1回／月8~10日休み／業界No.1企業,【クルマの修復スタッフ(鈑金・塗装)】★月収50万円以上も可能,正社員,300万円～1000万円
157,株式会社祥福企画,関西最大級の温泉レジャー施設を運営<大阪府緊急雇用対策に賛同>,昇給・賞与年2回／月8日休み【館内スタッフ】残業少なめ,正社員,300万円～510万円
158,DSP株式会社,★土日休み★完全週休2日★年間休日125日～130日,◆経験者は前給UPを保証！【人材コーディネーター】※高卒以上,正社員,350万円～1000万円
159,ケイアイスター不動産株式会社,《即日内定もあり！》東証一部上場企業：月収70万円も目指せる！,未経験歓迎！入社2年目で係長の社員も！【個人営業】北関東募集,正社員,400万円～700万円
160,株式会社グッドワークコミュニケーションズ,多角的な事業展開で急成長！★☆20～30代大活躍中！☆★,【営業職】★未経験スタート95％★定着率96.5％★平均月収36万円,正社員,350万円～800万円
161,ケイアイスター不動産株式会社,東証一部上場：完全週休2日制・営業部門の残業月平均20時間以内,暮らしに携わる【法人営業】入社2年目で昇進/未経験OK！全国募集,正社員,400万円～700万円
162,株式会社ネオート,平均年齢26歳/年間休日110日/月平均8.8万円のインセンティブあり,気づいたら稼げてる！【買取スタッフ】★即入社大歓迎,正社員,400万円～600万円
163,三州ペイント株式会社,メディアでも注目の塗料メーカー★転勤なし！未経験歓迎,異業種経験も活かせる【営業職】★完全週休二日＆ノルマなし！,正社員,
164,住友林業ホームサービス株式会社,【東証一部上場グループ】◆オリコン顧客満足度ランキング第1位,【不動産営業】★100％反響★年収1000万超え可能★フレックス制,正社員,350万円～600万円
165,プレミアムウォーター株式会社,東証2部上場グループ企業／シェアNo.1のウォーターサーバー,【内勤営業】福岡オープニング◎しっかり休めて[月収30万超]も！,正社員,350万円～550万円
166,新エネルギー計画株式会社,頑張りを給与に即還元！9割が未経験スタート★面接交通費支給,未経験歓迎！住宅設備の【営業職・営業アシスタント】年齢不問！,正社員,330万円～1000万円
167,株式会社グランレブリー,【知名度抜群！テレビCM放映中】未経験でも月給25万円以上,未経験歓迎！「ずっと京都で」が叶う【建築施工管理】,正社員,400万円～1000万円
168,株式会社エフティグループ,東証JASDAQ上場総合商社★20代多数活躍中★年休120日★転勤なし,【ソリューション営業】月給50万円スタートOK！WEB面接1回！,正社員,400万円～1000万円
169,株式会社ジーアフター,◆最高売上更新！注目の成長企業◆未経験スタートが9割以上！,大型店新規オープン！完全反響型の【営業】未経験でも月給30万円,正社員,400万円～600万円
170,木下工業株式会社,名古屋エリアの公共事業のみ！／資格取得もサポートします！,【作業スタッフ】★月収25万円～40万円が可能★未経験歓迎,正社員,350万円～500万円
171,株式会社HiiizL,7年連続過去最高益更新/20～30代活躍中！/急成長ベンチャー,2年連続モチベーションチームアワード受賞【イベントPR・営業】,正社員,300万円～700万円
172,株式会社ノードコムイントゥ,★土日祝休み★年休125日超★残業月20h以下★面接1回★20代中心,＼最強タッグでゼロから成長／【ITエンジニア】★ゲーム好き多数,正社員,200万円～1500万円
173,エムケイホールディングス株式会社,■2021年、京都地区限定で400名を新規採用決定！,【タクシー・ハイヤードライバー】※直近の平均月収29～50万円,正社員,400万円～700万円
174,ＳＯＭＰＯひまわり生命保険株式会社,★完全週休2日(土日祝)＋安心の固定給★4月入社大歓迎,【ライフカウンセラー】★月給30万円★業界未経験OK★45歳以下,正社員,350万円～600万円
175,株式会社エージェントゲート,Web面談実施中★年間休日130日★Python／Java／Rubyなど案件多数,【プログラマ】*ずっとPGを続けて収入UP*全員面談*残業基本ゼロ,正社員,300万円～1000万円
176,株式会社ハロネット,8年連続で「ベストベンチャー100」/1年目で年収800万円を実現可,【Webコンサルティング営業】★実績が待遇に直結する評価制度！,正社員,350万円～600万円
177,株式会社エージェントゲート,大手案件で社会を支える安定性◇有給取得率100％◆定期昇給あり,【インフラエンジニア】★5G・クラウド案件あり★年間休日130日,正社員,300万円～1000万円
178,ＳＯＭＰＯひまわり生命保険株式会社,★完全週休2日(土日祝)＋安心の固定給★4月入社大歓迎,【ライフカウンセラー】★月給30万円★業界未経験OK★年齢不問,正社員,350万円～600万円
179,株式会社WILL,「MOODYZ(ムーディーズ)」「S1(エスワン)」などを手がける企業！,アダルト作品をプロデュース！【プロデューサー】★未経験大歓迎,正社員,
180,株式会社オガタ,今期過去最高益！「小さな」超優良企業なんです！UIターン歓迎！,【企画販売（幹部候補）】★未経験OK★日曜定休・家賃補助あり！,正社員,360万円～550万円
181,フジイハウス産業株式会社,"【""三菱地所""や""住友不動産""と取引】大阪府緊急雇用対策に賛同",★高収入が目指せる★【設備管理】残業20h以内／月給25万円以上,正社員,300万円～700万円
182,i-CREW株式会社,【入社2年目以降に年収800万超も可能】即日内定もOK！,大手空調メーカーの【メンテナンススタッフ】残業ほぼなし,正社員,
183,メットライフ生命保険株式会社,【大阪府緊急雇用対策に賛同】◆賞与年4回／完全週休2日制(土日),未経験歓迎！【コンサルティング営業】環境&収入ともに抜群◎,正社員,
184,ビッグブルー株式会社,■土日祝休み■売上昨対比100％増■1月に駅チカオフィスに移転,化粧品に携わる【営業】★月給45万円～★女性活躍中,正社員,500万円～800万円
185,新日本住設WEST株式会社,【新日本住設グループ】残業は月10h以下/年収1000万円も可能,＊若手積極採用＊【営業スタッフ】完全週休2日制＆賞与年3回,正社員,500万円～800万円
186,株式会社貴順,★未経験歓迎★初期費用0円★週払い・日払い制度有★男女活躍中,【軽ドライバー】★年収1000万円夢じゃない！★東日本エリア限定,業務委託,100万円～1000万円
187,株式会社すずらん工務店,＜創業57年＞自社ブランド注文住宅の新築やリフォーム事業を展開,理想の住まいをカタチにする【営業】※未経験でも月給25万円以上,正社員,500万円～1000万円
188,大東建託株式会社,【東証一部・名証一部上場】◎フレックス制◎平均年収1021万円,【提案営業】土地オーナー様に寄り添いながら土地活用をご提案！,正社員,360万円～1000万円
189,東京エムケイ株式会社,《未経験でも研修3ヶ月計100万円の保証給》,上質なサービスを届ける【コンシェルジュドライバー】※学歴不問,正社員,450万円～550万円
190,東京エムケイ株式会社,【平均年収817万円】有給取得率80％超◆男性の育休/時短勤務実績,年収1000万円も可能！【高級車ハイヤーのドライバー】※高卒以上,正社員,450万円～550万円
191,大東建託株式会社,【東証一部・名証一部上場】◎入社支度金30万円支給！,【提案営業】★業界TOPクラスのインセンティブ・待遇・評価制度,正社員,420万円～1000万円
192,株式会社京進,東証二部上場,"【塾教室長】将来は独立を目指し、教室長として""経営""を学べる！",契約社員,
193,株式会社日本住宅販売,【大阪府緊急雇用対策に賛同】★増員募集★人物重視の採用です！,未経験歓迎！既存のお客様への【フォロー営業】週休2日/転勤なし,正社員,400万円～600万円
194,JTA株式会社,20代活躍中◆高率インセンティブ＋随時昇給◆土日休み◆転勤なし,成長×待遇も諦めない！【営業】◆年収1000万円超えの社員続出中,正社員,500万円～1000万円
195,株式会社dreams,武田塾,【塾運営スタッフ】未経験歓迎！一部営業事務業務もお任せします,正社員,
196,株式会社味ん味ん,業界イメージ払拭！【高給与&完全週休2日】で余裕のある働き方を,大人気店の【店長候補】★神奈川/西東京に密着！★35歳以下募集,正社員,378万円～550万円
197,株式会社データリレーションマーケティング,【東証一部上場のベンチャー企業グループ】◇社員定着率95％,【営業系総合職(内勤・訪問・SV)】★未経験歓迎★毎月インセン有,正社員,350万円～500万円
198,日本盾安国際株式会社,中国上場企業出資会社｜年収400万円以上を最低保証,世界で圧倒的シェアを誇る冷媒サイクル部品を扱う【ルート営業】,正社員,
199,株式会社TERASS,年収2000万も可能/仲介手数料の75％が年収/出社義務無し/副業OK!,フルリモート!売買仲介で売上75％が年収!【不動産エージェント】,業務委託,100万円～2000万円
200,株式会社ニッシンホームテック,■□九州で第3位の売上実績！安定経営を続ける理由に迫る□■,"""コロナ禍""でも売上増加【エリア営業】☆電話面接対応",正社員,450万円～700万円
201,光洋工業株式会社,大手と長年の取引！資格取得支援あり≪☆面接1回＆即日内定☆≫,【メンテナンススタッフ】*★学歴経験不問/月50万円実績★*,正社員,310万円～400万円
202,株式会社ファーレン埼玉,《Volkswagen正規ディーラー》未経験歓迎★研修充実★残業少なめ,WEB面接実施中★フォルクスワーゲンの【総合職(営業/整備士)】,正社員,300万円～650万円
203,御幸建設株式会社,《御幸建設グループ》フィットネス・カフェテリアプラン等あり,提案のしやすさ・福利厚生共に充実した環境で活躍【建築営業】,正社員,400万円～800万円
204,株式会社日本アムスコ,大手の開発プロジェクトにCAE解析で貢献／残業月20h程度と少なめ,育成枠採用！【シミュレーションエンジニア】※年間休日125日,正社員,
205,ME不動産埼京株式会社,MEホールディングスグループ／残業ほぼナシ／賞与年4回,昨年比300%成長中の事業！【保険アドバイザー】★年休120日以上,正社員,300万円～800万円
206,UTコミュニティ株式会社,大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,カンタン作業が中心！【軽作業スタッフ】★月収34万円以上も可能,正社員,
